Name,Library Type,Account Type,Account Status,Maori Name,Symbol,Street Address,Postal Address,Web Address,Main phone,Main Fax,Email,Notes,Alternative Names,NZ Int scheme member,Special Memberships,Manager,Library Manager Title,Manager email,Library Manager Fax,Library Manager Phone,Interloan Librarian,Interloan Librarian Title,Email interloan,Phone interloan,Fax interloan,Alt Interloan Librarian,Alt Interloan Librarian Title,Alt Email interloan,Alt Phone interloan,Alt Fax interloan,Reciprocal Arrangements,Te Puna int member,Status in NZ IL Scheme,Library Status,IBS member,Std Loan standard charge,Std Loan International Charge,Std Copy Standard Charge,Std Copy International Charge,Std Notes,International Notes,Urgent loan Standard Charge,Urgent Loan International Charge,Urgent Copy Standard Charge,Urgent Copy International Charge,City,Region,Latitude,Longitude
"Statistics New Zealand Library","Other","Government","Active","Tatauranga Aotearoa","WCE","Statistics House (Level 4), The Boulevard, Harbour Quays, Wellington","PO Box 2922, , Wellington - 6140","www.stats.govt.nz","+64 4 931 4656","+64 4 931 4880","library@stats.govt.nz","","","T","GIG","Jean McCracken","Librarian","library@stats.govt.nz","+64 4 931 4045","+64 4 931 4379","Jean McCracken","Librarian","library@stats.govt.nz","+64 4 931 4379","","","","","","","T","T","T","Charter","T","14","14","14","14","Reciprocal Arrangements with Govt Info Group; others by arrangement.","","20","34","20","34","Wellington","Wellington","-41.278984","174.787138",
"Crown Forestry Rental Trust Library","Other","Government","Active","Nga Kaitiaki Reti Ngahere Karauna","WCFR","135 Victoria St Building (Level 7), 135 Victoria St, Wellington","PO Box 2219, , Wellington - 6140","www.cfrt.org.nz","+64 4 915 1500","+64 4 916 7806","micky.stevens@cfrt.org.nz","","","T","","Micky (Michaela) Stevens","Information Management Co-ordinator (& Interloans Contact)","micky.stevens@cfrt.org.nz","+64 4 916 7806","+64 4 916 7827","Micky (Michaela) Stevens","Information Management Co-ordinator (& Interloans Contact)","micky.stevens@cfrt.org.nz","+64 4 916 7827","","","","","","","F","F","T","Non-Charter","F","","","","","","","","","","","Wellington","Wellington","-41.277","174.779700681788",
"Consumer NZ Library","Other","research","Active","","WCN","L1, 204 Thorndon Quay, Pipitea, Wellington","Private Bag 6996, Marion Square, Wellington - 6141","www.consumer.org.nz","+64 4 384 7963","+64 4 385 8752","library@consumer.org.nz","Library staffed 8 hours per week only
8.00-12.00 Monday & Thursday","","F","","Judith Burns","Research Librarian","LIBRARY@consumer.org.nz","+64 4 385 8752","+64 4 801 0418","Research Librarian Contact","Interloans Contact","library@consumer.org.nz","+64 4 801 0418","","","","","","","T","F","F","Charter","F","","14","","14","Reciprocal Arrangements for all charges","","14","14","14","14","Wellington","Wellington","-41.2979240254435","174.773971520848",
"Department of Conservation, Knowledge Services","Other","Government","Active","Te Papa Atawhai","WCO","1st Floor, 18-32 Manners Street, Wellington","PO Box 10420, The Terrace, Wellington - 6143","http://www.doc.govt.nz","+64 4 471 3032","","Knowledge.Services@doc.govt.nz","","Knowledge Services Team, Department of Conservation","T","","Louise Mercer","Information Services Team Leader","lmercer@doc.govt.nz","","04 496 1984","Interloans Contact","Interloans Contact","Knowledge.Services@doc.govt.nz","+64 4 471 3032","","","","","","","T","T","T","Charter","T","14","14","14","14","Urgents: Fax: 0.25c per page. Courier: at cost.","","14","14","14","14","Wellington","Wellington","-41.2899","174.775",
"Commerce Commission Library","Other","Government","Active","","WCOM","Level 6, 44 The Terrace, Wellington","PO Box 2351, , Wellington - 6140","www.comcom.govt.nz","+64 4 924 3600","+64 4 924 3700","research@comcom.govt.nz","","","T","","Hilda Wadham","Knowledge and Information Services Team Leader","research@comcom.govt.nz","+64 4 924 3700","+64 4 924 3728","Hilda Wadham","Knowledge and Information Services Team Leader","research@comcom.govt.nz","+64 4 924 3728","","","","","","","T","F","T","Non-Charter","F","","","","","","","","","","","Wellington","Wellington","-41.2805579725886","174.775235526835",
"Department of Corrections Information Centre","Other","Government","Active","","WCOR","Mayfair House, 44-52 The Terrace, Wellington","Private Box 1206, , Wellington - 6140","http://www.corrections.govt.nz","+64 4 460 3000","+64 4 460 3263","sue.bramley@corrections.govt.nz","GIG","Corrections, Department of, Information Centre","T","SLIS (Specialist Libraries and Information Services), LIANZA","Guy Reynolds","Team Leader Information Centre & Records Services","guy.reynolds@corrections.govt.nz","+64 4 460 3185","+64 4 470 8465","Sue Bramley","Interloans Librarian","sue.bramley@corrections.govt.nz","+64 4 470 8461","","","","","","","T","T","T","Charter","T","14","14","14","14","","","25","39","25","39","Wellington","Wellington","-41.2806","174.775235526835",
"Chen Palmer Library","Other","Law","Active","","WCP","Level 6, 22 The Terrace, Wellington","PO Box 2160, , Wellington -","www.chenpalm.co.nz","+64 4 499 8990","+64 4 499 8992","pam.mcmillan@chenpalm.co.nz","","","F","","Pam McMillan","Information & Research Manager (& Interloans)","pam.mcmillan@chenpalmer.com","+64 4 499 8992","+64 4 471 6618","Pam McMillan","Information & Research Manager (& Interloans)","pam.mcmillan@chenpalmer.com","+64 4 471 6618","","","","","","","F","F","F","tba","F","","","","","","","","","","","Wellington","Wellington","-41.2796093750768","174.775424895847",
"Crown Law Office, Research and Library Services","Other","Government","Active","","WCR","Justice Centre, 19 Aitken Street, Wellington","PO Box 2858 , , Wellington - 6140","www.crownlaw.govt.nz","+64 4 472 1719","+64 4 470 4476","library@crownlaw.govt.nz","","","T","NZLLG ; SLIS","Amelia De Lorenzo","Library and Research Manager","amelia.delorenzo@crownlaw.govt.nz","+64 4 494 5679","+64 4 494 5535","Rebecca Weeks","Interloans Librarian","library@crownlaw.govt.nz","+64 4 494 5513","","","","","","","T","F","T","Charter","F","14","40","14","40","Extra courier cost for urgent requests","","20","40","20","40","Wellington","Wellington","-41.2806483674501","174.775214081583",
"Judicial Libraries","Other","Government","Active","Te Tari Kooti","WCRT","Wellington High Court  - Judges' Library, 2 Molesworth Street, Wellington","Judges' Library, Wellington High Court, PO Box 1091, Wellington - 6140","www.justice.govt.nz","+64 4 914 3631","+64 4 914 3637","helen.gardiner@justice.govt.nz","WCRT collection merged with WJ July 2005","Ministry of Justice, Judicial Libraries","T","NZLLG (New Zealand Law Librarian's Group), SLIS (Specialist Libraries and Information Services), Justice Sector","Joanne Twist","Manager, Judicial Libraries","joanne.twist@justice.govt.nz","+64 4 918 8820","+64 4 9188831 / 021 504 666","Helen Gardiner","Interloans Contact","helen.gardiner@justice.govt.nz","+64 4 914 3631","","","","","","","T","T","T","Non-Charter","T","","","","","","","","","","","Wellington","Wellington","-41.2783","174.7784",
"Wellington Cathedral of St Paul","Other","Music Hire","Active","","WCSP","Cnr Molesworth & Hill Streets, Thorndon, Wellington","PO Box 12 044, Thorndon, Wellington - 6144","http://cathedral.wellington.net.nz","+64 4 472 0286","+64 4 474 1555","librarian@wellingtoncathedral.org.nz","","","","","WCSP Hire","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","Wellington","Wellington","","",
"Chapman Tripp (Wgtn) Information Centre","Other","Law","Active","","WCT","10 Customhouse Quay, LEVEL 14, Wellington","PO Box 993, , Wellington - 6011","www.chapmantripp.com","+64 4 499 5999","+64 4 498 6355","louise.martin@chapmantripp.com","","","T","NZLLG (New Zealand Law Librarian's Group)","Louise Martin","National Information and Research Centre Manager","louise.martin@chapmantripp.com","+64 4 472 7111","+64 4 498 6398","Louise Martin","National Information and Research Centre Manager","louise.martin@chapmantripp.com","+64 4 498 6398","","","","","","","T","F","T","Charter","F","","14","","14","","","","14","","14","Wellington","Wellington","-41.2846587506455","174.776229494317",
"Ministry for Culture and Heritage Library","Other","Government","Active","Te Manatu Taonga","WCUL","Level 4, ASB House, 101-103 The Terrace, Wellington","PO Box 5364, , Wellington - 6145","www.mch.govt.nz","+64 4 499 4229","+64 4 499 4490","fran.mcgowan@mch.govt.nz","","Culture and Heritage, Minstry for, Library","T","ARLIS ; ANZ","Fran McGowan","Research & Library Adviser (& Interloans Contact)","fran.mcgowan@mch.govt.nz","+64 4 499 4490","+64 4 471 4020","Fran McGowan","Research & Library Adviser (& Interloans Contact)","fran.mcgowan@mch.govt.nz","+64 4 471 4020","","","","","","","T","T","T","Charter","T","","14","","14","","","","14","","14","Wellington","Wellington","-41.2849","174.774047541938",
"HQ New Zealand Defence Force, Defence Library","Other","Government","Active","Te Ope Kaatua o Aotearoa","WD","Level 1, Defence House, 2-12 Aitken Street, Wellington","Private Bag 39997, , Wellington - 5045","www.nzdf.mil.nz","+64 4 496 0843","+64 4 496 0867","joan.keate@nzdf.mil.nz","","Te Ope Katua o Aotearoa","T","HealthLibs Network","Carolyn Carr","Chief Librarian","carolyn.carr@nzdf.mil.nz","+64 4 496 0867","+64 4 496 0835","Joan Keate","Interloans Librarian","joan.keate@nzdf.mil.nz or library.interloans@nzdf.mil.nz","+64 4 496 0843","","","","","","","T","T","T","Charter","T","15","18","15","18","Will charge as charged, where charges exceed our standard charge.","","15","36","15","36","Wellington","Wellington","-41.2809112014571","174.776868794047",
"The Dominion Post Library","Other","Business","Active","","WDOM","40 Boulcott Street, , Wellington","PO Box 1297, , Wellington -","","+64 4 474 0169","+64 4 474 0451","library@dompost.co.nz","","Dominion Post, The, Library","T","SLIS (Specialist Libraries and Information Services), LIANZA","Lance Gunderson","Library Manager","lance.gunderson@dompost.co.nz","","+64 4 474 0168","Lance Gunderson","Library Manager","lance.gunderson@dompost.co.nz","+64 4 474 0168","","","","","","","F","F","T","Non-Charter","T","","","","","","","","","","","Wellington","Wellington","-41.2878","174.7741",
"Nola Millar Library","Tertiary","Tertiary","Active","Te Kura Toi Whakaari o Aotearoa","WDR","11 Hutchison Road, Newtown, Wellington","PO Box 7146, Newtown, Wellington - 6242","http://www.toiwhakaari.ac.nz/news/nola-millar/","+64 4 381 9219","+64 4 389 4996","library@toiwhakaari.ac.nz","Do not interloan AV materials.","Toi Whakaari: NZ Drama School, Nola Millar Library","T","ARLIS ; ANZ (LIANZA)","Kris Wehipeihana","Library Manager","library@toiwhakaari.ac.nz","+64 4 389 4996","+64 4 381 9218","Virginia Earle","Interloan Librarian","library@toiwhakaari.ac.nz","+64 4 381 9220","","","","","","","F","T","T","Charter","T","14","20","14","18","Will charge as charged if borrower's fees exceed our standard charge. Non-IBS libraries incur a $5 surcharge.","","14","28","14","28","Wellington","Wellington","-41.3074085806423","174.774513520282",
"New Zealand Security Intelligence Library","Other","Government","Active","","WDS","Defence House , Stout Street, Wellington","PO Box 900, , Wellington -","","+64 4 472 6170","","","","Security Intelligence, New Zealand, Library","F","","0","","","","","0","","","","","","","","","","F","F","F","","F","","","","","","","","","","","Wellington","Wellington","-41.2799270309058","174.778788369546",
"Deloitte Information Service","Other","Business","Active","","WDT","Deloitte House, Levels 11-16, 10 Brandon Street, Wellington","PO Box 1990, , Wellington - 6140","www.deloitte.co.nz","+64 4 472 1677","+64 4 472 8023","joprince@deloitte.co.nz","SLIS; SLA-ANZ.  Speculative requests welcome","Deloitte Touche Tohmatsu (Wn) Information Service","T","SLIS ; NZLLG","Lynda Drumm","Acting National Manager","ldrumm@deloitte.co.nz","+64 4 472 8023","+64 4 470 3837","0","Interloans Contact","nzinfocentral@deloitte.co.nz","+64 4 470 4636","","","","","","","T","F","T","Non-Charter","F","0","14","0","14","","","14","14","14","14","Wellington","Wellington","-41.2835","174.7774",
"New Zealand Institute of Economic Research Library","Other","Research","Active","","WEC","Level 13, 215 Lambton Quay, Wellington","PO Box 3479, , Wellington - 6140","www.nzier.org.nz","+64 4 472 1880","+64 4 472 1211","library@nzier.org.nz","","NZIER","T","SLIS","Sarah Spring","Library Manager/Information Specialist","sarah.spring@nzier.org.nz or library@nzier.org.nz","+64 4 472 1211","+64 4 470 1811","Deborah O'Connor","Infomation Specialist","library@nzier.org.nz","+64 4 494 7961","","","","","","","T","T","T","Charter","T","15","20","15","20","Reciprocal Arrangements welcome.","","30","40","30","40","Wellington","Wellington","-41.2732450671622","174.779312500948",
"Environment & Conservation Organisations of NZ Inc. (ECO) Resource Centre","Other","Other Special Libraries","Pending","","WECO","126 Vivian Street, , Wellington","PO Box 11 057, , Wellington -","www.eco.org.nz","+64 4 385 7545","+64 4 385 7545","eco@reddfish.co.nz","","ECO (Environment & Conservation Organisations of NZ Inc.) Resource Centre","F","","Executive Officer","Manager","eco@reddfish.co.nz","","","Executive Officer","Manager","eco@reddfish.co.nz","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Wellington","Wellington","-41.2952306784116","174.776347146705",
"Ministry of Education Library","Other","Government","Active","","WED","Level 2, Justice Centre (formerly Vogel Centre), Aitken Street, Thorndon, Wellington","PO Box 1666, , Wellington - 6140","","+64 4 463 8926","+64 4 463 8942","education.library@minedu.govt.nz","Incorporates New Zealand Qualifications Authority and Tertiary Education Commission libraries.","","T","EdLibs","Hilary Rendell","Library Manager","hilary.rendell@minedu.govt.nz","+64 4 463 8942","+64 4 463 8933","Rose Payne","Interloans Librarian","education.library@minedu.govt.nz","+64 4 463 8162","","","","","","","T","T","T","Charter","T","14","16","14","16","Reciprocal agreements welcomed","","20","36","20","36","Wellington","Wellington","-41.277012881091","174.779700681788",
"Te Kura The Correspondence School Library","Tertiary","Education","Active","Te Kura-a-Tuhi","WEDC","11 Portland Crescent, Thorndon, Wellington","Private Bag 39992, Wellington Mail Centre, Lower Hutt - 5045","http://www.tekura.school.nz","+64 4 473 6841","+64 4 474 4325","library@tekura.school.nz","wef July 2010 The Correspondence School is now known as: Te Aho o Te Kura Pounamu The Correspondence School.","Correspondence School","T","SLANZA, EdLibs","Kathryn St Clair","Library Manager","Kathryn.StClair@tekura.school.nz","+64 4 474 4325","+64 4 473 6841","0","Interloans Contact","library@tekura.school.nz","+64 4 473 6841 x 8783","","","","","","","T","T","T","Charter","T","15","15","15","15","","","20","35","20","35","Wellington","Wellington","-41.2745191422513","174.77669658095",
"Open Polytechnic Library","Tertiary","Polytechnic","Active","Kuratini Tuwhera","WEDT","3 Cleary Street, , Lower Hutt","Private Bag 31 914, , Lower Hutt - 5040","www.openpolytechnic.ac.nz","+64 4 913 5300","+64 4 913 5644","library@openpolytechnic.ac.nz","","","T","","Kevin Moffat","ex Library Manager","kevin.moffat@openpolytechnic.ac.nz","","+64 4 913 5580","Christine Bain","Interloans Contact","library@openpolytechnic.ac.nz","+64 4 915 5867","","","","","","","F","T","T","Charter","T","14","14","14","14","Non-Charter Libraries $20 and urgents $30.","","20","34","20","34","Lower Hutt","","-41.2176395959029","174.931996887329",
"Business New Zealand Library","Other","Other Special Libraries","Ceased","","WEF","Lumley House, 3-11 Hunter Street, Wellington","PO Box 1925, , Wellington -","www.businessnz.org.nz","+64 4 496 6555","+64 4 496 6550","dwratt@businessnz.org.nz or slambert@businessnz.org.nz","","","F","","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Wellington","Wellington","-41.2855","174.7761",
"New Zealand Educational Institute (NZEI) Te Riu Roa Library","Other","Education","Active","Te Riu Roa","WEI","178-182 Willis St, , Wellington","PO Box 466, , Wellington - 6140","www.nzei.org.nz","+64 4 382 2739","+64 4 384 9401","infoservices@nzei.org.nz","","Te Riu Roa Library, New Zealand Education Institute (NZEI)","T","","Sharon Jones","Executive Officer - Information Services","sharon.jones@nzei.org.nz","+64 4 384 9401","+64 4 382 2739","Sharon Jones","Executive Officer - Information Services","sharon.jones@nzei.org.nz","+64 4 382 2739","","","","","","","F","T","T","Charter","T","","","","","","","","","","","Wellington","Wellington","","",
"Buller District Libraries","Public","Public Library","Active","","WEP","87- 89 Palmerston St, , Westport","PO Box 21, , Westport - 7866","http://buller.kotui.org.nz","+64 3 788 8030","+64 3 788 8147","library@bdc.govt.nz","","Westport Public Library","T","","Michaela Bodesheim","Library Manager","michaela@bdc.govt.nz","","","Kate Redmond","Interloans Librarian","kate@bdc.govt.nz","+64 3 788 8030x2","","","","","","","T","T","T","Charter","T","7","30","","30","No domestic charges, no charges for Level 3 libraries with reciprocal agreements.","","20","40","20","40","Westport","West Coast","-41.7517210177245","171.598147613138",
"New Zealand Council for Educational Research Library (NZCER), Information Services","Other","Research","Active","Te Runanga o Aotearoa mo Te Rangahua i Te Matauranga","WER","Level 10, West Block, Education House, 178-182 Willis Street, Wellington","P O Box 3237, , Wellington  - 6140","www.nzcer.org.nz","+64 4 384 7939","+64 4 384 7933","rebecca.lythe@nzcer.org.nz","","NZCER (New Zealand Council for Educational Research) Information Services","T","EdLibs","Rebecca Lythe","Librarian","rebecca.lythe@nzcer.org.nz","","+64 4 802 1446","0","","","","","","","","","","T","T","T","Charter","T","15","20","15","20","","","25","39","25","39","Wellington","Wellington","-41.2912662966113","174.773505782001",
"Education Review Office Information Centre","Other","Government","Active","Te Tari Arotake Matauranga","WERO","Level 1, 101 Lambton Quay, Wellington","PO Box 2799, , Wellington - 6140","www.ero.govt.nz","+64 4 499 2489","+64 4 499 2482","library@ero.govt.nz","","ERO (Education Review Office) Information Centre","T","EDLIBS (Education Libraries)","Anne Sowry","","library@ero.govt.nz","+64 4 499 2482","+64 4 471 6641","Anne Sowry","","library@ero.govt.nz","+64 4 471 6641","","","","","","","T","T","T","Charter","T","14","","14","","Urgent loan $14 so long as library happy to collect.","","14","","14","","Wellington","Wellington","-41.2801324941483","174.775964306955",
"Ministry for the Environment Information Centre","Other","Government","Active","Manatu Mo Te Taiao","WEV","Environment House, 23 Kate Sheppard Place, Thorndon, Wellington","P.O. Box 10362, , Wellington - 6143","www.mfe.govt.nz","+64 4 439 7537","+64 4 439 7700","infocentre@mfe.govt.nz","","","T","","Ailsa Parker","","infocentre@mfe.govt.nz","+64 4 439 7700","+64 4 439 7537","Ailsa Parker","","infocentre@mfe.govt.nz","+64 4 439 7537","","","","","","","T","T","T","Charter","T","14","20","14","20","No urgent fee for reciprocals.","","20","20","20","20","Wellington","Wellington","-41.2777749732478","174.778754201443",
"Ministry of Foreign Affairs & Trade Information Service","Other","Government","Active","Manatu Aorere","WEX","HSBC Tower, 195 Lambton Quay, Wellington","Private Bag 18 901, , Wellington Mail Centre - 6160","www.mfat.govt.nz","+64 4 439 8000","+64 4 472 9596","enquiries@mfat.govt.nz","","MFAT (Ministry of Foreign Affairs & Trade) Information Service","T","","0","","","","","Megan Griffiths","Interloans Librarian","enquiries@mfat.govt.nz","+64 4 439 8423","","","","","","","T","T","T","Charter","T","15","15","15","15","We welcome reciprocal arrangements.","","25","40","25","40","Wellington","Wellington","-41.2837159749199","174.775451884725",
"New Zealand Film Archive","","Arts","Active","Te Anakura Whitiahua","WFA","84 Taranaki Street, , Wellington","PO Box 11 449, , Wellington -","www.filmarchive.org.nz","+64 4 384 7647","+64 4 382 9595","information@nzfa.org.nz","","","","","0","","","","","0","","","","","","","","","","","","","tba","","","","","","","","","","","","Wellington","Wellington","","",
"Family Planning Library","Other","Health","Active","","WFAM","Level 6, 203-209 Willis Street, Wellington","PO Box 11 515, , Wellington - 6142","www.familyplanning.org.nz","+64 4 384 4349","+64 4 382 8356","steph.lambert@familyplanning.org.nz","","FPA (Family Planning Association) Library","T","","Steph Lambert","","steph.lambert@familyplanning.org.nz","+64 4 382 8356","+64 4 384 4349","Steph Lambert","","steph.lambert@familyplanning.org.nz","+64 4 384 4349","","","","","","","T","F","T","Non-Charter","F","","","","","Willling to enter reciprocal arrangements","","","","","","Wellington","Wellington","-41.2921018710021","174.773050603484",
"Festival Singers of Wellington","Other","Music Hire","Purge","","WFES","4/51 Sheridan Terrace, Johnsonville, Wellington","PO Box 1325, , Wellington - 6140","http://www.festival-singers.org.nz","+64 4 478 9668","","judithurry@gmail.com","","","","","WFES Hire","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","Wellington","Wellington","","",
"New Zealand Seafood Industry Council, Information Centre - CLOSED 31 OCT 2011","Other","Other","ClosedRef","","WFIB","Seafood Industry House - Level 1, 74 Cambridge Terrace, Wellington","Private Bag 24901, Manners Street, Wellington - 6142","","","","","","","F","IAMSLIC - International Association of Aquatic and Marine Science Libraries & Information Centres","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Wellington","Wellington","-41.2983","174.7811",
"Office of Film & Literature Classification Library","Other","Government","Active","Te Tari Whakaropu Tukata, Tuhituhinga","WFLC","BP House (4th Floor), 20 Customhouse Quay, Wellington","PO Box 1999, , Wellington -","www.censorship.govt.nz","+64 4 471 6770","+64 4 471 6781","library@censorship.govt.nz","","Film & Literature Classification, Office of, Library","T","","Kate Ward","Information and Policy Manager","library@censorship.govt.nz","+64 4 471 6781","+64 4 471 6770","Kate Ward","Information and Policy Manager","library@censorship.govt.nz","+64 4 471 6770","","","","","","","T","F","T","Non-Charter","0","0","14","0","14","No domestic charges.","","","14","","14","Wellington","Wellington","-41.2826703232809","174.778444478951",
"French Resource Centre Library","Other","Prospect","Prospect Cold","","WFRC","Level 3, 78 Victoria Street, , Wellington","PO Box 3002, Level 3, 78 Victoria Street, Wellington - 6140","www.french.co.nz/resourcecentre/","+64 4 474 9600","+64 4 472 2936","cdressou@paradise.net.nz","","French Library","F","","0","","","","","0","","","","","","","","","","F","F","F","","F","","","","","","","","","","","Wellington","Wellington","","",
"New Zealand Fire Service, Information Centre","Other","Government","Active","Whakaratonga Iwi","WFS","Level 9, AXA Centre, 80 The Terrace, Wellington","PO Box 2133, , Wellington - 6140","www.fire.org.nz","+64 4 496 3687","+64 4 496 3700","infoc@fire.org.nz","","NZ Fire Service, Information Centre","T","","April Flux","Information and Library Services Manager","april.flux@fire.org.nz","+64 4 496 3700","+64 4 496 3686","0","Interloans contact","infoc@fire.org.nz","+64 4 496 3687","","","","","","","T","T","T","Charter","T","20","20","20","20","Phone requests treated/charged as urgents","","30","30","30","30","Wellington","Wellington","-41.281651164628","174.775014226197",
"Parliamentary Library","Other","Government","Active","","WGA","Parliament Buildings, Molesworth Street, Wellington","Parliament Buildings, Molesworth Street, Wellington - 6011","","+64 4 817 9888","+64 4 817 9619","parliamentary.information@parliament.govt.nz","","","T","","Barbara McPhee","Parliamentary Librarian","Barbara.mcphee@parliament.govt.nz","","6448179031","0","Research Resources Officer","reference@parliament.govt.nz","+64 4 817 6706","","","","","","","T","T","T","Charter","T","","15","","15","Urgents $20 if user does copying/pickup. Non-Charter Libraries standard charge $20.","","25","25","25","25","Wellington","Wellington","-41.2784","174.7766",
"GNS Science, Geology & Geophysics Library","Other","Research","Active","","WGE","1 Fairway Drive, Avalon, Lower Hutt","PO Box 30 368, , Lower Hutt - 5040","www.gns.cri.nz","+64 4 570 4863","+64 4 570 4600","library@gns.cri.nz","LIANZA","Institute of Geological & Nuclear Sciences Ltd (GNS Science) Geology & Geophysics Library","T","SLIS (Specialist Libraries and Information Service","Maggie Dyer","Library  Manager","m.dyer@gns.cri.nz","","+64 4 570 4820","Kristin Garbett","Interloans Contact","library@gns.cri.nz","+64 4 570 4863","","","","","","","T","T","T","Charter","T","14","14","14","14","","","34","34","34","34","Lower Hutt","","-41.1957","174.9326",
"Ministry of Health Library","Other","Government","Active","Manatu Hauora","WH","133 Molesworth Street, , Wellington","PO Box 5013, , Wellington - 6145","www.moh.govt.nz","+64 4 496 2133","+64 4 496 2407","library@moh.govt.nz","","Health, Ministry of, Library","T","HealthLibs Network","Janine Pickering","Library Manager","janine_pickering@moh.govt.nz","","+64 4 496 2032","Melissa Toohey","Interloans Contact","mohinterloan@moh.govt.nz","+64 4 496 2047","","","","","","","T","T","T","Charter","T","14","14","14","14","charge as charged","","24","24","24","24","Wellington","Wellington","-41.273","174.7777",
"Whangarei District Council, Information Services","Other","Local Government","Ceased","","WHCL","Forum North, Rust Avenue, Whangarei","Private Bag 9023, , Whangarei - 0140","www.wdc.govt.nz","+64 9 430 4200","+64 9 438 7632","mailroom@wdc.govt.nz","","","F","","Candy Cunis","Corporate Library Support","candecec@wdc.govt.nz","","+64 9 430 4200 ext 8862","Polly Anderson","Interloans Contact","mailroom@wdc.govt.nz","+64 9 430 4200","","","","","","","F","F","F","tba","F","","","","","","","","","","","Whangarei","Northland","-35.7233","174.3165",
"NorthTec Library","Tertiary","Polytechnic","Active","Te Tai Tokerau Wananga Whare Pukapuka","WHCY","57 Raumanga Valley Road, , Whangarei","Private Bag 9019, , Whangarei Mail Centre - 0148","http://www.northland.ac.nz/library/Pages/default.aspx","+64 9 470 3790","+64 9 470 3793","library@northtec.ac.nz","Polytechnic Consortia","Northland Polytechnic (NorthTec) Library","T","HealthLibs Network","Jane Arlidge","Library Manager","jarlidge@northtec.ac.nz","+64 9 470 3793","+64 9 470 3765","Anna Harding","Interloan Librarian","library@northtec.ac.nz","+64 9 470 3790","","","","","","","T","T","T","Charter","T","14","25","14","25","No urgent charges","","14","25","14","25","Whangarei","Northland","-35.7396375638995","174.305992592236",
"Northland District Health Board Staff Library","Other","Health","Active","","WHM","Hospital Road, , Whangarei","Private Bag 9742, , Whangarei - 0148","","+64 9 430 4101 x 7251","+64 9 430 4106","library@northlanddhb.org.nz","","Northland Health Staff Library","T","HealthLibs Network","Gail Russell","Library Manager","library@northlanddhb.org.nz; Gail.Russell@northlanddhb.org.nz","+64 9 430 4106","+64 9 430 4101 x 7250","Interloan Librarian","Interloans Contact - (Request)","library@northlanddhb.org.nz","+64 9 430 4101 x 7251","","","","","","","T","T","T","Charter","T","14","14","14","14","Reciprocal charges apply if charged above the listed rates. Urgents: charge if charged (no charges to HealthLib libraries).","","34","34","34","34","Whangarei","Northland","-35.7359431049336","174.299620000262",
"Whangarei Libraries","Public","Public Library","Active","Wananga Whakatupu Matauranga","WHP","7 Rust Avenue, , Whangarei","Private Bag 9006, , Whangarei - 0148","www.whangarei-libraries.com","+64 9 430 4206","+64 9 438 2780","whglibrary@wdc.govt.nz","","","T","","Paula Urlich","Library Manager","paulau@wdc.govt.nz","+64 9 438 2780","+64 9 430 4230 x 8973","Jill Browne","Interloan Librarian","interloan@wdc.govt.nz","+64 9 430 4206 x 8506","","","","","","","T","T","T","Charter","T","14","15","14","15","","","20","34","20","34","Whangarei","Northland","-35.7234","174.3165",
"Sir Alister McIntosh Memorial Library, NZ Historic Places Trust","Other","Other","Active","","WHPT","63 Boulcott Street, , Wellington","PO Box 2629, , Wellington -","www.historic.org.nz","+64 4 472 4341","+64 4 499 0669","information@historic.org.nz","","NZ Historic Places Trust, Sir Alister McIntosh Memorial Library","F","SLIS (Specialist Libraries and Information Services)","Elaine Marland","Information Services Advisor","emarland@historic.org.nz","","+64 4 470 8056","Elaine Marland","Information Services Advisor","emarland@historic.org.nz","+64 4 470 8056","","","","","","","F","F","F","tba","F","","","","","","","","","","","Wellington","Wellington","-41.2870289565257","174.774370924703",
"Sport and Recreation New Zealand Library (CLOSED AUGUST 2012)","Other","Special Libraries","Active","","WHR",", , Wellington",", , Wellington -","","","","","","SPARC (Sport and Recreation New Zealand) Library","F","HealthLibs Network","0","","","","","0","","","","","","","","","","F","F","F","tba","0","","","","","","","","","","","Wellington","Wellington","-41.2879","174.7762",
"Energy Library","Other","Business","Active","","WHY","CMC Building (Level 8), 89 Courtenay Place, Wellington","PO Box 159, , Wellington - 6140","www.energylibrary.org.nz","+64 4 801 8465","+64 4 801 8470","library@energylibrary.org.nz","Formerly EnergyInfo","","T","SLIS","Jackie Park","Manager","jpark@energylibrary.org.nz","+64 4 801 8470","+64 4 801 8436","Bhanu Patel","Information Advisor (& Interloans Contact)","library@energylibrary.org.nz","+64 4 801 8498","","","","","","","T","T","T","Charter","T","25","30","20","20","Standards/Specifications $30 ; $20 extra for urgents. Reciprocals by arrangement.","Standards/Specifications $35 ; $20 extra for urgents.","45","50","40","40","Wellington","Wellington","-41.2929292075783","174.779592947492",
